"Year","Control","Log_Single","Log_Sequential"
2169,623.634094238281,623.834045410156,623.990051269531
2170,648.264770507812,648.432983398438,648.784484863281
2171,609.736389160156,609.848693847656,610.189453125
2172,614.595275878906,614.582580566406,614.925720214844
2173,539.107116699219,539.115295410156,539.609069824219
2174,600.278015136719,601.061401367188,601.953735351562
2175,644.558898925781,646.296936035156,646.788757324219
2176,735.23828125,738.462585449219,737.831604003906
2177,807.468811035156,811.306335449219,808.367126464844
2178,915.671081542969,918.770751953125,913.372314453125
2179,963.815368652344,963.989074707031,960.92724609375
2180,953.870178222656,952.84130859375,951.185729980469
