"Year","Treatment","AGB","AGB.c","AGB.d","rep","AGB.sc"
2131,"Control",612.042846679688,143.954697429544,0,"1",0.0433647771453314
2132,"Control",577.314636230469,109.226486980325,0,"1",-0.165679878912721
2133,"Control",473.864349365234,5.77620011509015,0,"1",-0.788393498679336
2134,"Control",442.048675537109,-26.0394737130349,0,"1",-0.979906292071924
2135,"Control",414.082397460938,-54.0057517892058,0,"1",-1.14824784800109
2136,"Control",373.606964111328,-94.4811851388158,0,"1",-1.3918876133078
2137,"Control",363.613037109375,-104.475112140769,0,"1",-1.45204553696032
2138,"Control",387.808471679688,-80.2796775704558,0,"1",-1.30640237733589
2139,"Control",399.933990478516,-68.1541587716278,0,"1",-1.23341344775851
2140,"Control",445.826538085938,-22.2616111642058,0,"1",-0.957165645003185
2141,"Control",481.048492431641,12.9603431814972,0,"1",-0.745148923247357
2142,"Control",538.495178222656,70.4070289725122,0,"1",-0.399351586801884
2143,"Control",593.530700683594,125.44255143345,0,"1",-0.0680681225806305
2144,"Control",603.301452636719,135.213303386575,0,"1",-0.00925358952381712
2145,"Control",495.075561523438,26.9874122732942,0,"1",-0.660713710609926
2146,"Control",457.810913085938,-10.2772361642058,0,"1",-0.885026323179821
2147,"Control",440.228179931641,-27.8599693185028,0,"1",-0.990864670657446
2148,"Control",413.168975830078,-54.9191734200658,0,"1",-1.15374614198714
2149,"Control",436.155731201172,-31.9324180489718,0,"1",-1.01537856392067
2150,"Control",460.931793212891,-7.15635603725281,0,"1",-0.866240347619944
2151,"Control",484.012054443359,15.9239051932151,0,"1",-0.727309915897635
2152,"Control",504.789398193359,36.7012489432151,0,"1",-0.602241776139332
2153,"Control",525.634887695312,57.5467384451682,0,"1",-0.476763436572442
2154,"Control",552.259948730469,84.1717994803251,0,"1",-0.316495266844617
2155,"Control",578.276733398438,110.188584148294,0,"1",-0.1598885850634
2156,"Control",580.746398925781,112.658249675637,0,"1",-0.145022561906325
2157,"Control",519.731567382812,51.6434181326682,0,"1",-0.512298166072298
2158,"Control",502.996124267578,34.9079750174342,0,"1",-0.613036295240192
2159,"Control",524.180236816406,56.0920875662622,0,"1",-0.485519631859559
2160,"Control",530.021301269531,61.9331520193872,0,"1",-0.450359648266339
2161,"Control",585.752014160156,117.663864910012,0,"1",-0.114891521420984
2162,"Control",631.22265625,163.134506999856,0,"1",0.158816643020989
2163,"Control",687.313537597656,219.225388347512,0,"1",0.496452785155617
2164,"Control",738.425109863281,270.336960613137,0,"1",0.804116235320357
2165,"Control",718.122009277344,250.0338600272,0,"1",0.68190277761555
2166,"Control",657.748168945312,189.660019695168,0,"1",0.318485586696136
2167,"Control",637.204528808594,169.11637955845,0,"1",0.194824213679514
2168,"Control",600.052795410156,131.964646160012,0,"1",-0.0288087126871713
2169,"Control",482.774871826172,14.6867225760282,0,"1",-0.734757072297157
2170,"Control",439.609252929688,-28.4788963204558,0,"1",-0.994590269545921
2171,"Control",408.566131591797,-59.5220176583468,0,"1",-1.18145272341572
2172,"Control",368.870086669922,-99.2180625802218,0,"1",-1.4204010006295
2173,"Control",359.951263427734,-108.13688582241,0,"1",-1.47408739313256
2174,"Control",383.762176513672,-84.3259727364718,0,"1",-1.33075884057853
2175,"Control",396.495239257812,-71.5929099923318,0,"1",-1.25411283182993
2176,"Control",442.484100341797,-25.6040489083468,0,"1",-0.977285275113153
2177,"Control",478.301910400391,10.2137611502472,0,"1",-0.761681830893072
2178,"Control",536.456298828125,68.3681495779812,0,"1",-0.411624515244218
2179,"Control",591.905334472656,123.817185222512,0,"1",-0.0778519299274196
2180,"Control",609.657287597656,141.569138347512,0,"1",0.0290050283601548
1979,"Log_Single",41.4257659912109,-435.710857863473,0,"1",-3.39143505360884
1980,"Log_Single",48.0989112854004,-429.037712569284,0,"1",-3.35126640268198
1981,"Log_Single",65.9640502929688,-411.172573561716,0,"1",-3.2437281278628
1982,"Log_Single",83.9157333374023,-393.220890517282,0,"1",-3.13566890571618
1983,"Log_Single",112.079406738281,-365.057217116403,0,"1",-2.96613913889946
1984,"Log_Single",145.795028686523,-331.341595168161,0,"1",-2.76318970664295
1985,"Log_Single",168.118942260742,-309.017681593942,0,"1",-2.62881207028832
1986,"Log_Single",195.397171020508,-281.739452834176,0,"1",-2.46461219142337
1987,"Log_Single",236.074295043945,-241.062328810739,0,"1",-2.21975835959855
1988,"Log_Single",259.536773681641,-217.599850173043,0,"1",-2.07852719007836
1989,"Log_Single",271.063598632812,-206.073025221872,0,"1",-2.0091420669698
1990,"Log_Single",315.038970947266,-162.097652907418,0,"1",-1.74443460114913
1991,"Log_Single",331.012298583984,-146.1243252707,0,"1",-1.64828398645497
